Names,Surnames
Rebecca,Edlund
Tobias,Ehrling
Madeleine,Erici
John,Fors
Sofie,Forslund
Axel,Göransson
Isabelle,Gustavsson
Oliver,Haag
Wilma,Hagen
Linus,Hagstrom
Agneta,Hallman
Stig,Hammarskjold
Lina,Hellberg
Hugo,Henning
Ella,Holmqvist
Kent,Hook
Gun,Hyland
Isak,Ivarsson
Pia,Lauren
Roger,Lindell
Berit,Linder
Claes,Lo
Ellen,Loving
Jesper,Malmberg
Olivia,Moe
Albin,Moller
Astrid,Morton
Ludvig,Nobel
Louise,Nolen
Rasmus,Nyman
Yvonne,Oden
Jörgen,Östberg
Moa,Österberg
Ali,Östlund
Agnes,Overbeck
Max,Palm
Alva,Rapp
Jimmy,Rosen
Emilia,Ruden
Joel,Sandlin
Nathalie,Söderlund
Kenneth,Söderström
Alexandra,Steen
Josef,Stenström
Mona,Stinasson
Dennis,Sundström
Victoria,Wallen
Liam,Wedin
Erika,Wellman
Gunnar,Wiklund
Britt,Anderson
Olle,Årsjö
Felicia,Åslund
Leo,Bäck
Lovisa,Bergling
Johnny,Björkegren
Pernilla,Björling
Olof,Bok
Sonja,Bond
Pontus,Bonner
Charlotte,Brink
Åke,Davidsson
Linn,Eng
Kevin,Fagerholm
Nina,Fagerudd
Samuel,Fällman
Saga,Fernholm
Gabriel,Fingerroos
Alma,Flygare
Arvid,Fougstedt
Karolina,Gabrielsson
Edvin,Gunderson
Mikaela,Gustafson
Felix,Hanson
Kristina,Hartman
Kurt,Hedstrom
Viktoria,Hildebrand
Torbjörn,Horne
Charlotta,Jacobson
Oskar,Jacobsson
Alba,Johanson
Ajax,Johnson
Alicia,Knutsson
Alfred,Kugelberg
Ayla,Lantz
Alvar,Larson
Clara,Lilja
Alve,Liljeström
Cleo,Lindblom
Alvin,Lindeman
Cornelia,Lindén
Arne,Lindquist
Elina,Ljungdahl
Aron,Ljungqvist
Elise,Lundvall
August,Magnuson
Ellinor,Mattisson
Bertil,Mattson
Elsie,Nilson
Carl,Nyquist
Elvira,Olson
Casper,Öste
Filippa,Palmcrantz
Dolf,Palmer
Freja,Palmgreen
Dolph,Pålson
Greta,Paulsson
Ebbe,Person
Hailey,Petersen
Elis,Richardsson
Hedda,Simonsson
Elliot,Sundelin
Hedvig,Sundstrand
Elton,Swedlund
Hilda,Syrén
Elvin,Thomason
Hilma,Thomasson
Folke,Tigerstedt
Idun,Westin
Frans,Augustsson
Ilse,Backstrom
Georg,Bergmann
Ines,Bjorkman
Gösta,Blix
Inga,Carlgren
Hjalmar,Dahlgren
Ingegerd,Dahlström
Ingemar,Frisk
Iris,Granqvist
Ingvar,Gyllenhaal
Janica,Hagman
Ivar,Hammarström
Joline,Hellgren
Jakob,Hellquist
Julie,Hellqvist
Johannes,Hellsten
Juni,Hjulström
Kian,Holgersson
Kristin,Holmdahl
Leon,Holmquist
Leah,Holmström
Lias,Isberg
Leia,Johannesson
Loke,Kristensson
Lilly,Lagerhjelm
Loui,Lindahl
Livia,Lindbergh
Love,Lindroos
Lova,Lindroth
Malte,Ljung
Lovis,Ljunggren
Matteo,Lundell
Luna,Lundmark
Maximilian,Lundquist
Lykke,Malmkvist
Melker,Malmquist
Maj,Malmsten
Milian,Malmstrom
Majken,Månsdotter
Milo,Markström
Mariam,Nygaard
Milton,Oskarsson
Märta,Österman
Mio,Rask
Maryam,Rehnquist
Neo,Rosengren
Meja,Rosenquist
Nicolas,Sjöholm
Melina,Sköld
Noel,Stefansson
Mila,Strandberg
Otis,Sundin
Millie,Sundqvist
Otto,Swedberg
Mira,Thornquist
Ove,Thörnqvist
Molly,Thorsson
Roland,Thunberg
Nellie,Torvalds
Rune,Wahlberg
Noomi,Wahlström
Sigge,Wallmark
Nora,Westberg
Sixten,Westermark
Nova,Wranå
Stig,Ahlm
Novalie,Ahnfelt
Svante,Ahnlund
Ronja,Åkerberg
Tage,Blomstedt
Signe,Bolander
Theodor,Boustedt
Sigrid,Brodd
Thor,Brundin
Stella,Bruzelius
Ture,Bure
Stina,Cederschiöld
Vale,Fjellborg
Svea,Göthberg
Valter,Grafström
Thea,Gyllenstierna
Vidar,Ingelow
Tilda,Källström
Vide,Kulldorff
Tilde,Nätterqvist
Viggo,Nordengrip
Tindra,Ossler
Vilgot,Regnell
Trude,Rönnlund
Ville,Rönström
Tuva,Silfverstolpe
Walter,Skiöld
Tyra,Skoog
Wilhelm,Sohlman
Yrsa,Ståhlberg
Wilmer,Strömstedt
Wilda,Svanlund
Wulf,Tedenby
Aila,Tegnér
Akseli,Tegstedt
Aili,Theorin
Aleksi,Varghede
Aliina,Wallenberg
Alf,Wallquist
Alina,Weibull
Anker,Westerholm
Alli,Widing
Arttu,Wieslander
Amelia,Wiklöf
Benny,Wilhelmsson
Angelica,See all Last Names by Nationality ~ Start Here
Börje,See all Girl Name Categories ~ Start Here
Annie,See all Boy Name Categories ~ Start Here
Bror,See all Girl Name Categories ~ Start Here
Anniina,See all Boy Name Categories ~ Start Here
Eddie,
Beatrice,
Eelis,
Bella,
Eemeli,
Belle,
Eero,
Beth,
Eetu,
Bianca,
Einar,
Birgit,
Einari,
Bonnie,
Eino,
Britta,
Eirik,
Carola,
Eriksson,
Daniela,
Evert,
Edit,
Finn,
Eira,
Hampus,
Elia,
Harald,
Eliina,
Harry,
Eliisa,
Hjalmer,
Elisabet,
Iisakki,
Ellie,
Ilari,
Ellika,
Jalmari,
Elma,
Jerry,
Emmi,
Jesse,
Emmy,
Jonatan,
Ester,
Joni,
Esteri,
Joona,
Eveliina,
Joonas,
Hanne,
Juuso,
Henny,
Kai,
Iben,
Kaj,
Iida,
Kalle,
Inez,
Kasper,
Ingeborg,
Kim,
Irene,
Klaus,
Isabella,
Kristian,
Jasmine,
Kristoffer,
Jenna,
Lasse,
Jennie,
Leevi,
Jette,
Leonard,
Kajsa,
Louie,
Kati,
Mårten,
Laura,
Matias,
Leona,
Mika,
Lily,
Mikko,
Liv,
Morgan,
Liva,
Niilo,
Lo,
Niko,
Lotta,
Noah,
Lotte,
Ole,
Maija,
Olli,
Maren,
Onni,
Martina,
Ossi,
Mathilda,
Ottar,
Mathilde,
Palle,
Mia,
Pär,
Mille,
Rayan,
My,
Ronny,
Nanna,
Sami,
Noora,
Samuli,
Penny,
Simo,
Petra,
Sune,
Rebecka,
Ted,
Sabina,
Teodor,
Sally,
Theo,
Selma,
Timmy,
Siiri,
Timo,
Sylvi,
Tomas,
Taimi,
Tomi,
Tove,
Tommi,
Tuula,
Torben,
Vera,
Tuomas,
Viola,
Urban,
Viveka,
Uuno,
Zoe,
Vilho,
Zoey,
Viljami,
Aino,
Aaro,
Airi,
Aimo,
Anni,
Aksel,
Annikki,
André,
Arja,
Antti,
Brit,
Arto,
Carita,
Artur,
Christel,
Asger,
Ditte,
Atlas,
Dorte,
Atle,
Dorthe,
Birger,
Eeva,
Bjarne,
Eila,
Bosse,
Eivor,
Conny,
Eli,
Edvard,
Elli,
Esa,
Elvi,
Esko,
Elviira,
Espen,
Ewa,
Flemming,
Gitte,
Frode,
Gudrun,
Hannes,
Gunborg,
Hardy,
Gunhild,
Harri,
Gunn,
Håvard,
Gunnel,
Heikki,
Gunvor,
Henrikki,
Hege,
Jaakko,
Helga,
Jani,
Heli,
Jari,
Helle,
Jarkko,
Helmi,
Jarle,
Helvi,
Jens,
Henna,
Jonny,
Hilde,
Jouni,
Hilja,
Juha,
Ina,
Jukka,
Inge,
Kari,
Jaana,
Kjetil,
Jenni,
Klas,
Jytte,
Knut,
Kaija,
Krister,
Kaisa,
Mads,
Kaja,
Magne,
Kamilla,
Måns,
Kari,
Mathias,
Karla,
Matts,
Karoliina,
Mauri,
Karoline,
Mogens,
Katri,
Morten,
Kirsi,
Nicklas,
Lise,
Niclas,
Lone,
Odd,
Maiken,
Ola,
Maire,
Olav,
Mari,
Pauli,
Marit,
Ragnar,
Marita,
Raimo,
Marjo,
Rauno,
Marte,
Rikard,
Maya,
Risto,
Mette,
Roar,
Milla,
Seppo,
Oda,
Sigve,
Päivi,
Stein,
Pirkko,
Sten,
Raija,
Storm,
Renate,
Svein,
Riikka,
Svend,
Rikke,
Taisto,
Saara,
Tarmo,
Saimi,
Teemu,
Sanne,
Tero,
Sanni,
Toivo,
Sassa,
Tor,
Seija,
Tord,
Silje,
Tore,
Sisko,
Torsten,
Sissel,
Trygve,
Solveig,
Ulrik,
Stine,
Väinö,
Tarja,
Vegard,
Tellervo,
Veikko,
Tone,
Veli,
Torill,
Vesa,
Alisa,
Aarne,
Amalia,
Aarre,
Amalie,
Ahti,
Amina,
Aleks,
Ana,
Aleksander,
Andrea,
Aleksanteri,
Anja,
Ariel,
Ann-Christin,
Armas,
Annelie,
Arthur,
Annica,
Asser,
Asta,
Boris,
Aurora,
Carsten,
Betina,
Claus,
Bettina,
Dag,
Brita,
Darin,
Carin,
Devin,
Carolina,
Eemil,
Catarina,
Eerik,
Christine,
Eivind,
Elena,
Emanuel,
Elisa,
Ensio,
Elizabeth,
Eric,
Emily,
Ernst,
Erica,
Eskil,
Evelina,
Even,
Gabriella,
Frederik,
Grete,
Geir,
Harriet,
Gustaf,
Heidi,
Håkon,
Helene,
Herman,
Helinä,
Ilias,
Henriette,
Ivan,
Ilona,
Jack,
Irina,
Janne,
Isabel,
Jeppe,
Isabell,
Johny,
Jannie,
Jozef,
Jasmin,
Julian,
Jeanette,
Julius,
Johanne,
Kåre,
Jonna,
Karlo,
Josefina,
Karsten,
Josefine,
Kauko,
Kaarina,
Kimmo,
Karina,
Lauri,
Katariina,
Lukas,
Kathrine,
Malthe,
Katja,
Marco,
Katriina,
Marius,
Katrine,
Marko,
Kirsten,
Markus,
Kirsti,
Maxim,
Kristine,
Mikal,
Laila,
Mikkel,
Laina,
Moses,
Leila,
Nicolai,
Lilja,
Niels,
Lisbet,
Nikolai,
Liselotte,
Nikolaj,
Madelene,
Olov,
Magdalena,
Oskari,
Marika,
Paavo,
Marina,
Pavel,
Marja,
Peder,
Martha,
Petter,
Martine,
Raine,
Maud,
Rainer,
Melissa,
Rufus,
Natalia,
Sakari,
Olga,
Sander,
Regina,
Santeri,
Rosa,
Sigurd,
Ruth,
Simen,
Sanna,
Sindre,
Sarah,
Sverre,
Sari,
Taavi,
Simone,
Tapani,
Sophia,
Tapio,
Sophie,
Tarek,
Susanna,
Tarik,
Suvi,
Terje,
Veronica,
Valdemar,
Vivi,
Valtteri,
Zahra,
Vilhelm,
Aase,
Alpo,
Alberte,
Antero,
Ane,
Arild,
Anu,
Arvi,
Åse,
Arvo,
Aud,
Aulis,
Aulikki,
Bent,
Aune,
Bernt,
Beate,
Calle,
Bente,
Danni,
Birgitte,
Egil,
Birte,
Egon,
Birthe,
Eldar,
Bodil,
Emrik,
Catharina,
Erkki,
Cathrine,
Erlend,
Dagmar,
Erling,
Eija,
Esben,
Elna,
Franz,
Else,
Gert,
Erna,
Göte,
Evy,
Hannu,
Gerd,
Hasse,
Gerda,
Henning,
Grethe,
Henok,
Gro,
Holger,
Gry,
Ilkka,
Hannele,
Ilmari,
Hellevi,
Inge,
Hilkka,
Janek,
Hillevi,
Janis,
Ingegärd,
Jarmo,
Ingela,
Jorma,
Ingunn,
Jostein,
Ingvild,
Jouko,
Inkeri,
Juhani,
Irja,
Jyrki,
Irma,
Kaarlo,
Janne,
Kalervo,
Kjersti,
Kalevi,
Kristiina,
Keijo,
Kyllikki,
Kjeld,
Leena,
Knud,
Lempi,
Kustaa,
Lene,
Ludwig,
Liisa,
Markku,
Lisbeth,
Martti,
Margit,
Matti,
Margrethe,
Mauno,
Maritta,
Michal,
Marketta,
Milas,
Marthe,
Mirko,
Martta,
Olavi,
Merete,
Osmo,
Merja,
Pål,
Mervi,
Pawel,
Mie,
Pekka,
Miia,
Pentti,
Mina,
Pertti,
Minna,
Petar,
Mirja,
Poul,
Orvokki,
Preben,
Pernille,
Reidar,
Pirjo,
Reijo,
Ragnhild,
Reino,
Raili,
René,
Rauha,
Sondre,
Reidun,
Sören,
Riitta,
Staffan,
Ritva,
Steen,
Rut,
Steffen,
Satu,
Steinar,
Silja,
Stian,
Sinikka,
Teuvo,
Sirkka,
Tuomo,
Sirpa,
Unto,
Tine,
Uolevi,
Toini,
Urho,
Tuija,
Veijo,
Vilhelmiina,
Verner,
Vilma,
Viljo,
Ylva,
Yngve,
