Name,Surname
Hanna,Borgen
Kjell,Bråten
Inger,Bråthen
Theodor,Breivik
Ulrika,Carlsen
William,Clausen
Kari,Dahle
Øyvind,Dybdahl
Tove,Egeland
Liam,Eilertsen
Lene,Elden
Sebastian,Engebretsen
Elin,Engen
Johan,Fjeld
Frida,Fossum
Petter,Gabrielsen
Christina,Gjerde
Sindre,Gustavsen
Charlotte,Haaland
Even,Haga
Liv,Håland
Håkon,Helgesen
Ada,Hermansen
Jørgen,Holmen
Iben,Hove
Mikkel,Hovland
Lea,Ingebrigtsen
Robert,Jansen
Grethe,Johannesen
Christian,Kvam
Line,Landvik
Vegard,Lind
Helene,Lindberg
Steinar,Løken
Ann,Lorentzen
Arne,Ludvigsen
Mona,Lundberg
Pål,Magnussen
Elise,Mikalsen
Vidar,Monsen
Mathilde,Mortensen
Adrian,Negaard
Viktoria,Nilssen
Gunnar,Nilsson
Eva,Nordby
Bent,Nygaard
Oda,ødegaard
Børge,Petersen
Kaja,Rønningen
Sverre,Ryland
Johanne,Sandberg
Nils,Sandnes
Celine,Selland
Ivar,Solbakken
Signe,Solvang
Rolf,Sorensen
Lise,Sørlie
Reidar,Stokke
Ina,Sunde
Roger,Sveen
Eline,Syversen
Finn,Teigen
Vera,Thoresen
Trygve,Thorgilsdottir
Madeleine,Tollefsen
Kåre,Torgersen
Andrea,Torp
Roy,Wiik
Ellen,Wilhelmsen
Stig,Andersson
Gudrun,Bjelland
Helge,Carlsdotter
Ragnhild,Dalen
Asbjørn,Eggen
Tonje,Ellefsen
Birger,Enger
Synnøve,Gran
Odd,Haraldsen
Unni,Henning
Jarle,Hoel
Siv,Johansson
Tom,Jonassen
Marthe,Karlsson
Ingvar,Kaspersen
Birgitte,Kittleson
Alf,Larsson
Ester,Lauritzen
Edvard,Lian
Lena,Løkken
Elis,Mathiesen
Kristina,Melby
Preben,Michelsen
Aina,Mo
Aleksander,Møller
Amelia,Nesse
Andor,Nordli
Ane,Normann
Aric,Nyhus
Anina,Olsson
Arkyn,Ottesen
Anja,Robertsen
Arvid,Sætre
Asta,Sand
August,Sande
Astri,Skogen
Axel,Solhaug
Britta,Solli
Birk,Arntzen
Carina,Bendiksen
Bo,Bergersen
Dagny,Bolstad
Calder,Braathen
Dorothea,Bugge
Casper,Eriksson
Eisa,Espeland
Crosby,Fosse
Eli,Grimstad
Cuyler,Hamre
Elisa,Helle
Darby,Hetland
Ellie,Hjelle
Destin,Holen
Ellinor,Holst
Dustin,Holte
Ellinore,Klausen
Erling,Kleven
Elsa,Kolstad
Fenrir,Krogh
Elyna,Laake
Fillip,Langeland
Erla,Larssen
Frans,Markussen
Evy,Meland
Garth,Mork
Grete,Nyborg
Gustav,Persson
Hedvig,Riise
Haakon,Rustad
Hennie,Salvesen
Hagen,Skaar
Hermine,Skaug
Halvor,Skoglund
Hilda,Sletten
Harald,Stangeland
Josefine,Steffensen
Hermann,Stenberg
Juni,Stene
Holmes,Svensson
Kaia,Syvertsen
Igor,Teigland
Karin,Thorstad
Isac,Thorstensen
Karina,Thorvaldsen
Ivan,Tvedt
Karolina,Viken
Iver,Walberg
Katarina,Westgard
Jens,Axel
Katja,Beck
Johannes,Bengtsson
Kirsten,Bielke
Kai,Borg
Laila,Brand
Kirk,Breiner
Lilli,Christeson
Kirkland,Emanuelson
Lily,Engberg
Kory,Engman
Linea,Ericson
Lamont,Erling
Lisbeth,Eskildsen
Ludvig,Estenson
Live,Falkenberg
Ludvik,Fredrickson
Lulla,Friberg
Lukas,Frydenlund
Luna,Halvorson
Manning,Hartvigsen
Maia,Helvig
Matheo,Hjorth
Malene,Junge
Matias,Knut
Matilde,Kolbeck
Nikolai,Lindquist
Maya,Lorenzen
Noa,Mathieson
Mie,Nord
Odin,Nyberg
Mikaela,Nybo
Olsen,Nyland
Noora,Nylund
Osmond,Olander
Norah,Oscar
Otto,Pihl
Olga,Riis
Ralph,Risberg
Ottilie,Rosenberg
Randolph,Sigmond
Runa,Skau
Rasmus,Steenberg
Saga,Steensen
Roscoe,Stendahl
Signy,Thorp
Sigmund,Toft
Skadi,Tranum
Sixten,Trygg
Storm,Vagle
Sven,Westberg
Sylvie,Westergaard
Teo,Aamodt
Therese,Aasheim
Teodor,Arntsen
Thyra,Berget
Theo,Børresen
Tirill,Bredesen
Thor,Brevik
Tomine,Christoffersen
Thorsen,Davidsen
Turid,Eikeland
Thorsten,Endresen
Tuva,Farstad
Torben,Finstad
Wanda,Fjeldstad
Torsten,Gjertsen
Willa,Gulliksen
Ulrik,Haugan
Ylva,Hole
Viktor,Husby
Zara,Kleppe
Vilhelm,Krogstad
Aila,Kvamme
Alfred,Mæland
Aili,Marthinsen
Anton,Myrvang
Alina,Myrvold
Ari,Nikolaisen
Alli,Nordahl
Bror,Nordbø
Alma,Nordvik
Brynjar,Norheim
Alva,øien
Carl,Olafsen
Amina,Olaussen
Charlie,Opsahl
Angelica,østby
Christen,Reitan
Anneli,Ringstad
Corey,Rød
Annie,Røed
Eero,Simensen
Arna,Solem
Einer,Sørli
Berit,Sørum
Eino,Stensrud
Birgit,Sund
Enok,Thorbjørnsen
Carola,Tønnessen
Erikson,Vatne
Charlotta,Vold
Evert,Waage
Diana,Wold
Felix,Aronsen
Ebba,Ask
Freyr,Bergan
Edit,Berglund
Gabriel,Bjørge
Eivor,Bjørnsen
Georg,Erlandsen
Elma,Frantzen
Halvard,Fredheim
Embla,Guttormsen
Harry,Håkonsen
Emmi,Hovde
Hemming,Høyland
Emmy,Ingebritson
Hugo,Johnsrud
Erika,Kallestad
Isaac,Knudsvig
Eveliina,Lande
Jacob,Lervik
Groa,Martinussen
Jahn,Melgaard
Gyda,Mørk
Jesse,Nes
Hanne,Nymoen
Jonatan,økland
Henny,Opheim
Joni,øverland
Hilma,øyen
Joonas,Ramstad
Iida,Skår
Josef,Skeie
Ingeborg,Stenersen
Kaj,Sundby
Irene,Vangen
Kalle,Volden
Jennie,Wiig
Kim,See all Last Names by Nationality ~ Start Here
Kajsa,See all Girl Name Categories ~ Start Here
Klaus,See all Boy Name Categories ~ Start Here
Kara,See all Girl Name Categories ~ Start Here
Kristoff,See all Boy Name Categories ~ Start Here
Kelsey,
Leevi,
Laura,
Leiv,
Lilja,
Leo,
Lis,
Leon,
Liva,
Lief,
Lotta,
Loki,
Lovisa,
Marcus,
Lovise,
Mattias,
Maija,
Max,
Maiken,
Mika,
Martina,
Mikko,
Matilda,
Morgan,
Mille,
Niko,
Molly,
Olaf,
My,
Olli,
Niina,
Oscar,
Petra,
Ossi,
Pia,
Osvald,
Rebecka,
Ottar,
Sally,
Paal,
Sari,
Palle,
Selby,
Petri,
Siiri,
Rurik,
Sophia,
Sami,
Sophie,
Simo,
Svea,
Soren,
Sylvi,
Tarben,
Taina,
Timo,
Terttu,
Tomas,
Tuula,
Tomi,
Viola,
Tommi,
Viveka,
Urban,
Vivian,
Vilho,
Agnes,
Aarne,
Alicia,
Ahti,
Alisa,
Albert,
Amalia,
Albin,
Ana,
Alvar,
Annelie,
Armas,
Annica,
Arthur,
Annika,
Bendik,
Beatrice,
Bertil,
Betina,
Bjarte,
Bettina,
Christer,
Brita,
Christoffer,
Brynhild,
Claus,
Carin,
Dag,
Carolina,
Eivind,
Catarina,
Elliot,
Celina,
Emanuel,
Christine,
Endre,
Clara,
Ernst,
Cornelia,
Eskil,
Daniela,
Fabian,
Dina,
Frederik,
Edith,
Goran,
Elizabeth,
Gudmund,
Elvira,
Gustaf,
Erica,
Hampus,
Evelina,
Ingolf,
Filippa,
Jalmari,
Freja,
Janne,
Gabriella,
Jarl,
Greta,
Jeppe,
Harriet,
Jørn,
Henriette,
Julius,
Ilona,
Kauko,
Ines,
Lauri,
Irina,
Lennart,
Iris,
Linus,
Isabel,
Malte,
Isabell,
Malthe,
Jannie,
Marco,
Jasmin,
Marko,
Jeanette,
Melker,
Joanna,
Mikael,
Jonna,
Mikjel,
Josefina,
Milo,
Kaarina,
Nicolai,
Katariina,
Niels,
Kathrine,
Niilo,
Kirsti,
Niklas,
Klara,
Nikolaj,
Laina,
Njord,
Leila,
Olof,
Lisbet,
Olve,
Liselotte,
Oskari,
Maarit,
Paavo,
Madelene,
Patrik,
Mariam,
Peder,
Marika,
Rafael,
Marina,
Ralf,
Marja,
Rickard,
Marlene,
Roald,
Martine,
Roland,
Maryam,
Ronald,
Mathilda,
Ruben,
Maud,
Sakari,
Melina,
Santeri,
Melissa,
Simen,
Nadia,
Svante,
Natalia,
Tapani,
Nellie,
Tapio,
Regina,
Thurston,
Rosa,
Toni,
Ruth,
Torbjorn,
Sabina,
Tormod,
Sanna,
Torstein,
Simone,
Torvald,
Sjofn,
Tuomas,
Susanna,
Uhtred,
Suvi,
Valtteri,
Svana,
Vemund,
Tiina,
Vetle,
Tyra,
Viggo,
Vanessa,
Viljami,
Verdandi,
Viljar,
Veronica,
Ville,
Vivi,
Wiktor,
Zahra,
Wilhelm,
Aino,
Aimo,
Airi,
Andre,
Aleksandra,
Antti,
Anni,
Arto,
Annikki,
Artur,
Arja,
Asger,
Astra,
Atle,
Brit,
Bjarne,
Britt,
Bruno,
Carita,
Canute,
Christel,
Carr,
Ditte,
Carsten,
Dorte,
Colborn,
Dorthe,
Dagfinn,
Eeva,
Esa,
Eila,
Esko,
Eira,
Fiske,
Elvi,
Flemming,
Ewa,
Gunvald,
Gitte,
Hakan,
Gun,
Haldor,
Gunilla,
Halstein,
Gunn,
Hannes,
Gunnel,
Harri,
Gunvor,
Havard,
Heli,
Heikki,
Helle,
Ingemar,
Helmi,
Jaakko,
Helvi,
Jack,
Henna,
Jani,
Hilja,
Jesper,
Inge,
Johnny,
Ingegerd,
Jonny,
Jaana,
Jouni,
Jenna,
Juha,
Jenni,
Jukka,
Jette,
Jussi,
Jorunn,
Karsten,
Jytte,
Kent,
Kaija,
Kimmo,
Kaisa,
Kjetil,
Kamilla,
Klas,
Karla,
Krister,
Kati,
Kurt,
Katri,
Loke,
Kirsi,
Mads,
Lone,
Magne,
Lova,
Mats,
Maire,
Mauri,
Maren,
Mogens,
Mari,
Nicklas,
Marita,
Niclas,
Marjo,
Ola,
Marjut,
Olle,
Milla,
Ove,
Mira,
Pauli,
Nova,
Pontus,
Pauliina,
Ragnar,
Pirkko,
Raimo,
Ragna,
Rainer,
Raija,
Rauno,
Rebekka,
Risto,
Renate,
Seppo,
Riikka,
Skule,
Rikke,
Stein,
Saara,
Stigr,
Sanne,
Tage,
Sanni,
Tallak,
Seija,
Teemu,
Sisko,
Thurmund,
Sissel,
Thursten,
Stina,
Toivo,
Tarja,
Tord,
Tilda,
Tore,
Tilde,
Torkel,
Tindra,
Veikko,
Torill,
Veli,
Vigdis,
Vesa,
Aase,
Agnar,
Alberte,
Ake,
Annette,
Alvin,
Anu,
Arild,
Ase,
Arnfinn,
Aud,
Arvi,
Aune,
Arvo,
Beate,
Bengt,
Birte,
Bernt,
Birthe,
Brede,
Catharina,
Claes,
Cathrine,
Egil,
Dagmar,
Egon,
Eija,
Erkki,
Elna,
Erlend,
Else,
Gard,
Erna,
Gaute,
Frederikke,
Gert,
Gerd,
Grim,
Gerda,
Hannu,
Gry,
Hjalmar,
Hannele,
Holger,
Hilkka,
Hrafn,
Hillevi,
Ib,
Ingela,
Ilkka,
Ingvild,
Inge,
Irja,
Jarmo,
Irma,
Jorma,
Janne,
Jostein,
Kerstin,
Jouko,
Kjersti,
Juhani,
Kristiina,
Jyrki,
Leena,
Kaarlo,
Lempi,
Keijo,
Liisa,
Kjeld,
Margit,
Kustaa,
Margrethe,
Ludwig,
Maritta,
Markku,
Martta,
Martti,
Merete,
Matti,
Merja,
Mauno,
Mervi,
Olavi,
Miia,
Oluf,
Mina,
Onni,
Minna,
Osmo,
Mirja,
Pawel,
Mirjam,
Pekka,
Pernille,
Pentti,
Pirjo,
Pertti,
Raili,
Poul,
Rauha,
Reijo,
Reidun,
Reino,
Rigmor,
Rene,
Riitta,
Snorre,
Ritva,
Sondre,
Rut,
Staffan,
Saima,
Steen,
Satu,
Steffen,
Silja,
Sveinn,
Sinikka,
Teuvo,
Sirkka,
Torbjørn,
Sirpa,
Tuomo,
Terese,
Urho,
Tine,
Veijo,
Toini,
Verner,
Tuija,
Viljo,
Vilma,
Yngve,
Alfhild,
Åge,
Bodil,
Arnold,
Cecilia,
Arnstein,
Cecilie,
Aron,
Elena,
Canutte,
Elina,
Ebbe,
Elisabet,
Edvin,
Elli,
Gorm,
Estrid,
Halfdan,
Gertrud,
Hallvard,
Gro,
Henning,
Gunhild,
Herman,
Helena,
Jari,
Helga,
Kari,
Inga,
Knud,
Ingunn,
Lasse,
Johanna,
Njal,
Magdalena,
Ødger,
Margareta,
Rikard,
Marta,
Roar,
Martha,
Skarde,
Mette,
Sten,
Nanna,
Sune,
Randi,
Svend,
Revna,
Toke,
Sif,
Troels,
Thurid,
Truls,
Tora,
Ulf,
Ulfhild,
Valdemar,
Yrsa,
Valter,
